NAME,median_rent,zip code tabulation area,zip
ZCTA5 10001,2625,10001,10001
ZCTA5 10002,1136,10002,10002
ZCTA5 10003,2731,10003,10003
ZCTA5 10004,3501,10004,10004
ZCTA5 10005,3501,10005,10005
ZCTA5 10006,3501,10006,10006
ZCTA5 10007,3501,10007,10007
ZCTA5 10009,1832,10009,10009
ZCTA5 10010,2899,10010,10010
ZCTA5 10011,2637,10011,10011
ZCTA5 10012,2624,10012,10012
ZCTA5 10013,2113,10013,10013
ZCTA5 10014,2852,10014,10014
ZCTA5 10016,3048,10016,10016
ZCTA5 10017,2854,10017,10017
ZCTA5 10018,3501,10018,10018
ZCTA5 10019,2328,10019,10019
ZCTA5 10021,2754,10021,10021
ZCTA5 10022,2754,10022,10022
ZCTA5 10023,2744,10023,10023
ZCTA5 10024,2760,10024,10024
ZCTA5 10025,1885,10025,10025
ZCTA5 10026,1507,10026,10026
ZCTA5 10027,1523,10027,10027
ZCTA5 10028,2550,10028,10028
ZCTA5 10029,1137,10029,10029
ZCTA5 10030,1245,10030,10030
ZCTA5 10031,1794,10031,10031
ZCTA5 10032,1519,10032,10032
ZCTA5 10033,1674,10033,10033
ZCTA5 10034,1588,10034,10034
ZCTA5 10035,1116,10035,10035
ZCTA5 10036,2269,10036,10036
ZCTA5 10037,1470,10037,10037
ZCTA5 10038,3082,10038,10038
ZCTA5 10039,1158,10039,10039
ZCTA5 10040,1623,10040,10040
ZCTA5 10044,3082,10044,10044
ZCTA5 10065,2792,10065,10065
ZCTA5 10069,3286,10069,10069
ZCTA5 10075,2328,10075,10075
ZCTA5 10128,2434,10128,10128
ZCTA5 10280,3501,10280,10280
ZCTA5 10282,3501,10282,10282
ZCTA5 10301,1643,10301,10301
ZCTA5 10302,1701,10302,10302
ZCTA5 10303,1399,10303,10303
ZCTA5 10304,1365,10304,10304
ZCTA5 10305,1517,10305,10305
ZCTA5 10306,1579,10306,10306
ZCTA5 10307,1449,10307,10307
ZCTA5 10308,1668,10308,10308
ZCTA5 10309,1983,10309,10309
ZCTA5 10310,1660,10310,10310
ZCTA5 10312,1773,10312,10312
ZCTA5 10314,1631,10314,10314
ZCTA5 10451,1257,10451,10451
ZCTA5 10452,1323,10452,10452
ZCTA5 10453,1362,10453,10453
ZCTA5 10454,954,10454,10454
ZCTA5 10455,1130,10455,10455
ZCTA5 10456,1163,10456,10456
ZCTA5 10457,1381,10457,10457
ZCTA5 10458,1512,10458,10458
ZCTA5 10459,1292,10459,10459
ZCTA5 10460,1299,10460,10460
ZCTA5 10461,1675,10461,10461
ZCTA5 10462,1652,10462,10462
ZCTA5 10463,1592,10463,10463
ZCTA5 10464,1794,10464,10464
ZCTA5 10465,1680,10465,10465
ZCTA5 10466,1474,10466,10466
ZCTA5 10467,1482,10467,10467
ZCTA5 10468,1508,10468,10468
ZCTA5 10469,1634,10469,10469
ZCTA5 10470,1581,10470,10470
ZCTA5 10471,1680,10471,10471
ZCTA5 10472,1392,10472,10472
ZCTA5 10473,1120,10473,10473
ZCTA5 10474,1280,10474,10474
ZCTA5 10475,1207,10475,10475
ZCTA5 11004,1954,11004,11004
ZCTA5 11101,2556,11101,11101
ZCTA5 11102,2184,11102,11102
ZCTA5 11103,2042,11103,11103
ZCTA5 11104,1908,11104,11104
ZCTA5 11105,2162,11105,11105
ZCTA5 11106,1936,11106,11106
ZCTA5 11109,3501,11109,11109
ZCTA5 11201,3110,11201,11201
ZCTA5 11203,1495,11203,11203
ZCTA5 11204,1677,11204,11204
ZCTA5 11205,2107,11205,11205
ZCTA5 11206,1434,11206,11206
ZCTA5 11207,1476,11207,11207
ZCTA5 11208,1506,11208,11208
ZCTA5 11209,1801,11209,11209
ZCTA5 11210,1695,11210,11210
ZCTA5 11211,2267,11211,11211
ZCTA5 11212,1150,11212,11212
ZCTA5 11213,1550,11213,11213
ZCTA5 11214,1666,11214,11214
ZCTA5 11215,2673,11215,11215
ZCTA5 11216,2048,11216,11216
ZCTA5 11217,2651,11217,11217
ZCTA5 11218,1879,11218,11218
ZCTA5 11219,1627,11219,11219
ZCTA5 11220,1641,11220,11220
ZCTA5 11221,1937,11221,11221
ZCTA5 11222,2479,11222,11222
ZCTA5 11223,1596,11223,11223
ZCTA5 11224,925,11224,11224
ZCTA5 11225,1730,11225,11225
ZCTA5 11226,1672,11226,11226
ZCTA5 11228,1732,11228,11228
ZCTA5 11229,1586,11229,11229
ZCTA5 11230,1680,11230,11230
ZCTA5 11231,2309,11231,11231
ZCTA5 11232,1865,11232,11232
ZCTA5 11233,1510,11233,11233
ZCTA5 11234,1732,11234,11234
ZCTA5 11235,1595,11235,11235
ZCTA5 11236,1608,11236,11236
ZCTA5 11237,1998,11237,11237
ZCTA5 11238,2368,11238,11238
ZCTA5 11239,1018,11239,11239
ZCTA5 11354,1707,11354,11354
ZCTA5 11355,1625,11355,11355
ZCTA5 11356,2034,11356,11356
ZCTA5 11357,2184,11357,11357
ZCTA5 11358,1939,11358,11358
ZCTA5 11360,2145,11360,11360
ZCTA5 11361,2302,11361,11361
ZCTA5 11362,2426,11362,11362
ZCTA5 11363,2334,11363,11363
ZCTA5 11364,2268,11364,11364
ZCTA5 11365,1708,11365,11365
ZCTA5 11366,2022,11366,11366
ZCTA5 11367,1711,11367,11367
ZCTA5 11368,1884,11368,11368
ZCTA5 11369,1888,11369,11369
ZCTA5 11370,2044,11370,11370
ZCTA5 11372,1760,11372,11372
ZCTA5 11373,1835,11373,11373
ZCTA5 11374,1953,11374,11374
ZCTA5 11375,2046,11375,11375
ZCTA5 11377,1743,11377,11377
ZCTA5 11378,1931,11378,11378
ZCTA5 11379,1881,11379,11379
ZCTA5 11385,1857,11385,11385
ZCTA5 11411,1650,11411,11411
ZCTA5 11412,1554,11412,11412
ZCTA5 11413,1970,11413,11413
ZCTA5 11414,1978,11414,11414
ZCTA5 11415,1863,11415,11415
ZCTA5 11416,1840,11416,11416
ZCTA5 11417,1847,11417,11417
ZCTA5 11418,1775,11418,11418
ZCTA5 11419,1868,11419,11419
ZCTA5 11420,1969,11420,11420
ZCTA5 11421,1903,11421,11421
ZCTA5 11422,2115,11422,11422
ZCTA5 11423,1662,11423,11423
ZCTA5 11426,2131,11426,11426
ZCTA5 11427,1665,11427,11427
ZCTA5 11428,1763,11428,11428
ZCTA5 11429,1452,11429,11429
ZCTA5 11432,1768,11432,11432
ZCTA5 11433,1321,11433,11433
ZCTA5 11434,1375,11434,11434
ZCTA5 11435,1775,11435,11435
ZCTA5 11436,2018,11436,11436
ZCTA5 11691,1424,11691,11691
ZCTA5 11692,1305,11692,11692
ZCTA5 11693,1137,11693,11693
ZCTA5 11694,1688,11694,11694
ZCTA5 11697,-666666666,11697,11697
