NAME,total_units,occupied_units,vacant_units,zip code tabulation area,zip,vacancy_rate
ZCTA5 10001,16975,14375,2600,10001,10001,0.1532
ZCTA5 10002,39094,36028,3066,10002,10002,0.0784
ZCTA5 10003,30766,24987,5779,10003,10003,0.1878
ZCTA5 10004,2706,2123,583,10004,10004,0.2154
ZCTA5 10005,6272,4881,1391,10005,10005,0.2218
ZCTA5 10006,2422,2046,376,10006,10006,0.1552
ZCTA5 10007,3702,3084,618,10007,10007,0.1669
ZCTA5 10009,32019,29670,2349,10009,10009,0.0734
ZCTA5 10010,18966,16050,2916,10010,10010,0.1537
ZCTA5 10011,35017,28874,6143,10011,10011,0.1754
ZCTA5 10012,14271,11529,2742,10012,10012,0.1921
ZCTA5 10013,15523,12753,2770,10013,10013,0.1784
ZCTA5 10014,21554,17504,4050,10014,10014,0.1879
ZCTA5 10016,36447,30162,6285,10016,10016,0.1724
ZCTA5 10017,12858,9155,3703,10017,10017,0.288
ZCTA5 10018,5409,4704,705,10018,10018,0.1303
ZCTA5 10019,32995,26297,6698,10019,10019,0.203
ZCTA5 10021,29104,20568,8536,10021,10021,0.2933
ZCTA5 10022,25127,18153,6974,10022,10022,0.2776
ZCTA5 10023,45408,35742,9666,10023,10023,0.2129
ZCTA5 10024,36324,29472,6852,10024,10024,0.1886
ZCTA5 10025,47715,41653,6062,10025,10025,0.127
ZCTA5 10026,17307,15237,2070,10026,10026,0.1196
ZCTA5 10027,27462,24387,3075,10027,10027,0.112
ZCTA5 10028,29517,24440,5077,10028,10028,0.172
ZCTA5 10029,37150,33406,3744,10029,10029,0.1008
ZCTA5 10030,14350,13097,1253,10030,10030,0.0873
ZCTA5 10031,24314,22037,2277,10031,10031,0.0936
ZCTA5 10032,24160,22285,1875,10032,10032,0.0776
ZCTA5 10033,21980,20521,1459,10033,10033,0.0664
ZCTA5 10034,16913,15879,1034,10034,10034,0.0611
ZCTA5 10035,16239,14833,1406,10035,10035,0.0866
ZCTA5 10036,22524,18916,3608,10036,10036,0.1602
ZCTA5 10037,11244,10103,1141,10037,10037,0.1015
ZCTA5 10038,12671,10646,2025,10038,10038,0.1598
ZCTA5 10039,12933,12177,756,10039,10039,0.0585
ZCTA5 10040,17430,16541,889,10040,10040,0.051
ZCTA5 10044,5908,5039,869,10044,10044,0.1471
ZCTA5 10065,22221,16113,6108,10065,10065,0.2749
ZCTA5 10069,3851,3142,709,10069,10069,0.1841
ZCTA5 10075,15702,12839,2863,10075,10075,0.1823
ZCTA5 10128,35464,29328,6136,10128,10128,0.173
ZCTA5 10280,4819,4293,526,10280,10280,0.1092
ZCTA5 10282,2880,2635,245,10282,10282,0.0851
ZCTA5 10301,16611,14400,2211,10301,10301,0.1331
ZCTA5 10302,6816,5945,871,10302,10302,0.1278
ZCTA5 10303,9455,8675,780,10303,10303,0.0825
ZCTA5 10304,17052,15553,1499,10304,10304,0.0879
ZCTA5 10305,16975,15780,1195,10305,10305,0.0704
ZCTA5 10306,21164,19872,1292,10306,10306,0.061
ZCTA5 10307,5471,5217,254,10307,10307,0.0464
ZCTA5 10308,11373,10472,901,10308,10308,0.0792
ZCTA5 10309,12397,11792,605,10309,10309,0.0488
ZCTA5 10310,10029,9145,884,10310,10310,0.0881
ZCTA5 10312,22553,21324,1229,10312,10312,0.0545
ZCTA5 10314,33628,31825,1803,10314,10314,0.0536
ZCTA5 10451,21335,20965,370,10451,10451,0.0173
ZCTA5 10452,28819,28260,559,10452,10452,0.0194
ZCTA5 10453,28859,28456,403,10453,10453,0.014
ZCTA5 10454,15157,14737,420,10454,10454,0.0277
ZCTA5 10455,16528,16254,274,10455,10455,0.0166
ZCTA5 10456,33141,32370,771,10456,10456,0.0233
ZCTA5 10457,27161,26163,998,10457,10457,0.0367
ZCTA5 10458,31146,29116,2030,10458,10458,0.0652
ZCTA5 10459,18512,17805,707,10459,10459,0.0382
ZCTA5 10460,23142,21814,1328,10460,10460,0.0574
ZCTA5 10461,20047,18807,1240,10461,10461,0.0619
ZCTA5 10462,31876,29806,2070,10462,10462,0.0649
ZCTA5 10463,30382,29607,775,10463,10463,0.0255
ZCTA5 10464,2126,1990,136,10464,10464,0.064
ZCTA5 10465,17017,16168,849,10465,10465,0.0499
ZCTA5 10466,25761,24622,1139,10466,10466,0.0442
ZCTA5 10467,40529,38433,2096,10467,10467,0.0517
ZCTA5 10468,29270,28228,1042,10468,10468,0.0356
ZCTA5 10469,24691,23337,1354,10469,10469,0.0548
ZCTA5 10470,6578,6351,227,10470,10470,0.0345
ZCTA5 10471,9238,8924,314,10471,10471,0.034
ZCTA5 10472,24370,22114,2256,10472,10472,0.0926
ZCTA5 10473,23439,22795,644,10473,10473,0.0275
ZCTA5 10474,4020,3808,212,10474,10474,0.0527
ZCTA5 10475,18715,18383,332,10475,10475,0.0177
ZCTA5 11004,5604,5290,314,11004,11004,0.056
ZCTA5 11101,24983,16488,8495,11101,11101,0.34
ZCTA5 11102,19366,12164,7202,11102,11102,0.3719
ZCTA5 11103,18508,15516,2992,11103,11103,0.1617
ZCTA5 11104,13115,11991,1124,11104,11104,0.0857
ZCTA5 11105,17602,15851,1751,11105,11105,0.0995
ZCTA5 11106,21408,18516,2892,11106,11106,0.1351
ZCTA5 11109,4842,3326,1516,11109,11109,0.3131
ZCTA5 11201,35121,32227,2894,11201,11201,0.0824
ZCTA5 11203,32743,29411,3332,11203,11203,0.1018
ZCTA5 11204,27408,25118,2290,11204,11204,0.0836
ZCTA5 11205,18788,16861,1927,11205,11205,0.1026
ZCTA5 11206,34062,32698,1364,11206,11206,0.04
ZCTA5 11207,37638,34831,2807,11207,11207,0.0746
ZCTA5 11208,37368,34321,3047,11208,11208,0.0815
ZCTA5 11209,33347,30179,3168,11209,11209,0.095
ZCTA5 11210,23064,21652,1412,11210,11210,0.0612
ZCTA5 11211,28618,26822,1796,11211,11211,0.0628
ZCTA5 11212,34529,32091,2438,11212,11212,0.0706
ZCTA5 11213,28552,26281,2271,11213,11213,0.0795
ZCTA5 11214,33482,31366,2116,11214,11214,0.0632
ZCTA5 11215,31967,29465,2502,11215,11215,0.0783
ZCTA5 11216,28596,26311,2285,11216,11216,0.0799
ZCTA5 11217,20908,18912,1996,11217,11217,0.0955
ZCTA5 11218,27395,26048,1347,11218,11218,0.0492
ZCTA5 11219,27374,24031,3343,11219,11219,0.1221
ZCTA5 11220,30565,27907,2658,11220,11220,0.087
ZCTA5 11221,37962,35245,2717,11221,11221,0.0716
ZCTA5 11222,20806,19108,1698,11222,11222,0.0816
ZCTA5 11223,29145,26748,2397,11223,11223,0.0822
ZCTA5 11224,21072,19486,1586,11224,11224,0.0753
ZCTA5 11225,26703,24873,1830,11225,11225,0.0685
ZCTA5 11226,41821,38458,3363,11226,11226,0.0804
ZCTA5 11228,16650,15474,1176,11228,11228,0.0706
ZCTA5 11229,33403,30751,2652,11229,11229,0.0794
ZCTA5 11230,34324,31897,2427,11230,11230,0.0707
ZCTA5 11231,17956,16498,1458,11231,11231,0.0812
ZCTA5 11232,10180,9589,591,11232,11232,0.0581
ZCTA5 11233,34246,32516,1730,11233,11233,0.0505
ZCTA5 11234,35350,32606,2744,11234,11234,0.0776
ZCTA5 11235,36885,34769,2116,11235,11235,0.0574
ZCTA5 11236,36879,33986,2893,11236,11236,0.0784
ZCTA5 11237,18725,17513,1212,11237,11237,0.0647
ZCTA5 11238,28741,26492,2249,11238,11238,0.0783
ZCTA5 11239,8738,8367,371,11239,11239,0.0425
ZCTA5 11354,23022,20980,2042,11354,11354,0.0887
ZCTA5 11355,31404,29690,1714,11355,11355,0.0546
ZCTA5 11356,8889,8391,498,11356,11356,0.056
ZCTA5 11357,16346,15508,838,11357,11357,0.0513
ZCTA5 11358,13820,13179,641,11358,11358,0.0464
ZCTA5 11360,9711,8692,1019,11360,11360,0.1049
ZCTA5 11361,11703,10886,817,11361,11361,0.0698
ZCTA5 11362,7659,7164,495,11362,11362,0.0646
ZCTA5 11363,2894,2855,39,11363,11363,0.0135
ZCTA5 11364,14546,13822,724,11364,11364,0.0498
ZCTA5 11365,16813,16361,452,11365,11365,0.0269
ZCTA5 11366,5049,4640,409,11366,11366,0.081
ZCTA5 11367,15527,14647,880,11367,11367,0.0567
ZCTA5 11368,31571,30123,1448,11368,11368,0.0459
ZCTA5 11369,14142,9736,4406,11369,11369,0.3116
ZCTA5 11370,11736,8140,3596,11370,11370,0.3064
ZCTA5 11372,26542,25359,1183,11372,11372,0.0446
ZCTA5 11373,34900,32644,2256,11373,11373,0.0646
ZCTA5 11374,21293,19800,1493,11374,11374,0.0701
ZCTA5 11375,35227,33312,1915,11375,11375,0.0544
ZCTA5 11377,34581,33239,1342,11377,11377,0.0388
ZCTA5 11378,14462,12818,1644,11378,11378,0.1137
ZCTA5 11379,15088,13810,1278,11379,11379,0.0847
ZCTA5 11385,40214,37167,3047,11385,11385,0.0758
ZCTA5 11411,6858,6602,256,11411,11411,0.0373
ZCTA5 11412,12513,11753,760,11412,11412,0.0607
ZCTA5 11413,14229,13512,717,11413,11413,0.0504
ZCTA5 11414,12148,11401,747,11414,11414,0.0615
ZCTA5 11415,9499,8588,911,11415,11415,0.0959
ZCTA5 11416,7955,7485,470,11416,11416,0.0591
ZCTA5 11417,9909,9377,532,11417,11417,0.0537
ZCTA5 11418,12152,11681,471,11418,11418,0.0388
ZCTA5 11419,13611,12908,703,11419,11419,0.0516
ZCTA5 11420,14759,13836,923,11420,11420,0.0625
ZCTA5 11421,12796,11840,956,11421,11421,0.0747
ZCTA5 11422,10454,10019,435,11422,11422,0.0416
ZCTA5 11423,10443,9946,497,11423,11423,0.0476
ZCTA5 11426,6526,6108,418,11426,11426,0.0641
ZCTA5 11427,8416,8046,370,11427,11427,0.044
ZCTA5 11428,6497,6153,344,11428,11428,0.0529
ZCTA5 11429,8386,8038,348,11429,11429,0.0415
ZCTA5 11432,21263,20036,1227,11432,11432,0.0577
ZCTA5 11433,11701,10886,815,11433,11433,0.0697
ZCTA5 11434,23991,22986,1005,11434,11434,0.0419
ZCTA5 11435,20692,19350,1342,11435,11435,0.0649
ZCTA5 11436,6463,6136,327,11436,11436,0.0506
ZCTA5 11691,22680,21687,993,11691,11691,0.0438
ZCTA5 11692,8600,8128,472,11692,11692,0.0549
ZCTA5 11693,5767,5274,493,11693,11693,0.0855
ZCTA5 11694,9042,7994,1048,11694,11694,0.1159
ZCTA5 11697,2799,1533,1266,11697,11697,0.4523
